Date,Product,Category,Quantity,Unit Price,Total Sales,Store Location,Month,Weekday
2025-01-04,Shoes,Clothing,4,2022,8088,Bangalore,2025-01,Saturday
2025-01-04,Watch,Accessories,4,2925,11700,Mumbai,2025-01,Saturday
2025-01-04,Shoes,Clothing,1,3360,3360,Mumbai,2025-01,Saturday
2025-01-04,Shirt,Clothing,4,3927,15708,Chennai,2025-01,Saturday
2025-01-05,Bag,Accessories,4,3602,14408,Mumbai,2025-01,Sunday
2025-01-05,Laptop,Electronics,1,1806,1806,Mumbai,2025-01,Sunday
2025-01-05,Laptop,Electronics,4,9974,39896,Bangalore,2025-01,Sunday
2025-01-05,Watch,Accessories,3,4713,14139,Delhi,2025-01,Sunday
2025-01-05,Laptop,Electronics,3,14045,42135,Chennai,2025-01,Sunday
2025-01-05,Bag,Accessories,3,3745,11235,Chennai,2025-01,Sunday
2025-01-05,Laptop,Electronics,4,47076,188304,Mumbai,2025-01,Sunday
2025-01-05,Shirt,Clothing,4,3881,15524,Bangalore,2025-01,Sunday
2025-01-05,Mobile,Electronics,3,24164,72492,Delhi,2025-01,Sunday
2025-01-05,Laptop,Electronics,1,27236,27236,Mumbai,2025-01,Sunday
2025-01-05,Mobile,Electronics,4,47145,188580,Bangalore,2025-01,Sunday
2025-01-05,Shoes,Clothing,1,3774,3774,Mumbai,2025-01,Sunday
2025-01-05,Mobile,Electronics,5,39059,195295,Mumbai,2025-01,Sunday
2025-01-05,Bag,Accessories,4,3810,15240,Bangalore,2025-01,Sunday
2025-01-06,Headphones,Electronics,1,25842,25842,Mumbai,2025-01,Monday
2025-01-06,Shoes,Clothing,4,497,1988,Mumbai,2025-01,Monday
2025-01-06,Headphones,Electronics,1,28348,28348,Chennai,2025-01,Monday
2025-01-06,Headphones,Electronics,5,26870,134350,Chennai,2025-01,Monday
2025-01-06,Shirt,Clothing,3,1669,5007,Bangalore,2025-01,Monday
2025-01-06,Bag,Accessories,3,3519,10557,Chennai,2025-01,Monday
2025-01-06,Bag,Accessories,4,788,3152,Delhi,2025-01,Monday
2025-01-06,Bag,Accessories,2,3219,6438,Delhi,2025-01,Monday
2025-01-06,Headphones,Electronics,4,8620,34480,Delhi,2025-01,Monday
2025-01-06,Mobile,Electronics,2,30806,61612,Bangalore,2025-01,Monday
2025-01-06,Shirt,Clothing,2,923,1846,Delhi,2025-01,Monday
2025-01-06,Shirt,Clothing,4,2349,9396,Delhi,2025-01,Monday
2025-01-07,Shoes,Clothing,3,2356,7068,Delhi,2025-01,Tuesday
2025-01-07,Headphones,Electronics,3,15651,46953,Chennai,2025-01,Tuesday
2025-01-07,Headphones,Electronics,4,6795,27180,Mumbai,2025-01,Tuesday
2025-01-07,Laptop,Electronics,4,13374,53496,Delhi,2025-01,Tuesday
2025-01-07,Shirt,Clothing,4,553,2212,Bangalore,2025-01,Tuesday
2025-01-07,Watch,Accessories,1,398,398,Delhi,2025-01,Tuesday
2025-01-07,Shoes,Clothing,2,4733,9466,Mumbai,2025-01,Tuesday
2025-01-07,Watch,Accessories,3,4091,12273,Delhi,2025-01,Tuesday
2025-01-07,Laptop,Electronics,4,25236,100944,Chennai,2025-01,Tuesday
2025-01-08,Watch,Accessories,5,4287,21435,Chennai,2025-01,Wednesday
2025-01-08,Bag,Accessories,3,4796,14388,Chennai,2025-01,Wednesday
2025-01-08,Laptop,Electronics,4,42414,169656,Bangalore,2025-01,Wednesday
2025-01-08,Watch,Accessories,5,862,4310,Mumbai,2025-01,Wednesday
2025-01-08,Headphones,Electronics,3,49877,149631,Delhi,2025-01,Wednesday
2025-01-09,Shirt,Clothing,1,4848,4848,Chennai,2025-01,Thursday
2025-01-09,Shoes,Clothing,3,4942,14826,Chennai,2025-01,Thursday
2025-01-09,Laptop,Electronics,1,19089,19089,Delhi,2025-01,Thursday
2025-01-09,Watch,Accessories,5,2865,14325,Bangalore,2025-01,Thursday
2025-01-09,Shirt,Clothing,1,1360,1360,Chennai,2025-01,Thursday
2025-01-10,Watch,Accessories,5,906,4530,Bangalore,2025-01,Friday
2025-01-10,Shirt,Clothing,1,1439,1439,Bangalore,2025-01,Friday
2025-01-10,Shoes,Clothing,5,3275,16375,Bangalore,2025-01,Friday
2025-01-10,Laptop,Electronics,3,27141,81423,Delhi,2025-01,Friday
2025-01-10,Mobile,Electronics,2,38710,77420,Chennai,2025-01,Friday
2025-01-11,Mobile,Electronics,2,17038,34076,Mumbai,2025-01,Saturday
2025-01-11,Mobile,Electronics,2,1284,2568,Chennai,2025-01,Saturday
2025-01-11,Laptop,Electronics,1,13033,13033,Chennai,2025-01,Saturday
2025-01-11,Bag,Accessories,5,3106,15530,Mumbai,2025-01,Saturday
2025-01-11,Headphones,Electronics,2,30092,60184,Chennai,2025-01,Saturday
2025-01-11,Shoes,Clothing,4,3250,13000,Delhi,2025-01,Saturday
2025-01-11,Shirt,Clothing,5,4415,22075,Delhi,2025-01,Saturday
2025-01-11,Watch,Accessories,4,1466,5864,Chennai,2025-01,Saturday
2025-01-11,Mobile,Electronics,2,11466,22932,Bangalore,2025-01,Saturday
2025-01-11,Watch,Accessories,3,4036,12108,Mumbai,2025-01,Saturday
2025-01-11,Bag,Accessories,5,2015,10075,Mumbai,2025-01,Saturday
2025-01-11,Watch,Accessories,3,2791,8373,Delhi,2025-01,Saturday
2025-01-12,Shoes,Clothing,4,3351,13404,Chennai,2025-01,Sunday
2025-01-12,Shoes,Clothing,4,1176,4704,Chennai,2025-01,Sunday
2025-01-12,Shirt,Clothing,3,4664,13992,Mumbai,2025-01,Sunday
2025-01-12,Shirt,Clothing,2,1993,3986,Bangalore,2025-01,Sunday
2025-01-12,Laptop,Electronics,3,28751,86253,Mumbai,2025-01,Sunday
2025-01-13,Mobile,Electronics,5,32717,163585,Delhi,2025-01,Monday
2025-01-13,Watch,Accessories,1,2231,2231,Delhi,2025-01,Monday
2025-01-13,Laptop,Electronics,2,29805,59610,Delhi,2025-01,Monday
2025-01-13,Bag,Accessories,2,859,1718,Delhi,2025-01,Monday
2025-01-13,Shoes,Clothing,5,3643,18215,Delhi,2025-01,Monday
2025-01-13,Bag,Accessories,5,2594,12970,Bangalore,2025-01,Monday
2025-01-13,Shirt,Clothing,2,1979,3958,Bangalore,2025-01,Monday
2025-01-13,Shoes,Clothing,1,3656,3656,Mumbai,2025-01,Monday
2025-01-13,Shirt,Clothing,5,3418,17090,Delhi,2025-01,Monday
2025-01-13,Watch,Accessories,4,4848,19392,Chennai,2025-01,Monday
2025-01-13,Mobile,Electronics,2,35747,71494,Delhi,2025-01,Monday
2025-01-14,Shirt,Clothing,1,2057,2057,Delhi,2025-01,Tuesday
2025-01-14,Bag,Accessories,2,3149,6298,Chennai,2025-01,Tuesday
2025-01-14,Bag,Accessories,2,4030,8060,Mumbai,2025-01,Tuesday
2025-01-14,Laptop,Electronics,5,16864,84320,Chennai,2025-01,Tuesday
2025-01-14,Bag,Accessories,2,4892,9784,Chennai,2025-01,Tuesday
2025-01-14,Headphones,Electronics,4,18571,74284,Chennai,2025-01,Tuesday
2025-01-14,Mobile,Electronics,3,35695,107085,Delhi,2025-01,Tuesday
2025-01-14,Laptop,Electronics,5,36006,180030,Bangalore,2025-01,Tuesday
2025-01-14,Shoes,Clothing,4,4213,16852,Bangalore,2025-01,Tuesday
2025-01-14,Shirt,Clothing,5,2744,13720,Chennai,2025-01,Tuesday
2025-01-14,Bag,Accessories,2,2846,5692,Mumbai,2025-01,Tuesday
2025-01-15,Bag,Accessories,1,4485,4485,Chennai,2025-01,Wednesday
2025-01-15,Shoes,Clothing,2,1925,3850,Mumbai,2025-01,Wednesday
2025-01-15,Mobile,Electronics,3,42076,126228,Bangalore,2025-01,Wednesday
2025-01-15,Shirt,Clothing,2,1816,3632,Bangalore,2025-01,Wednesday
2025-01-15,Shoes,Clothing,4,1028,4112,Delhi,2025-01,Wednesday
2025-01-15,Shoes,Clothing,1,975,975,Mumbai,2025-01,Wednesday
2025-01-15,Shoes,Clothing,1,3267,3267,Chennai,2025-01,Wednesday
2025-01-16,Laptop,Electronics,3,20963,62889,Chennai,2025-01,Thursday
2025-01-16,Mobile,Electronics,1,35411,35411,Chennai,2025-01,Thursday
2025-01-16,Bag,Accessories,5,4151,20755,Delhi,2025-01,Thursday
2025-01-16,Bag,Accessories,5,2626,13130,Delhi,2025-01,Thursday
2025-01-16,Headphones,Electronics,1,46852,46852,Delhi,2025-01,Thursday
2025-01-16,Watch,Accessories,4,1028,4112,Mumbai,2025-01,Thursday
2025-01-16,Shoes,Clothing,3,695,2085,Delhi,2025-01,Thursday
2025-01-17,Headphones,Electronics,4,4860,19440,Bangalore,2025-01,Friday
2025-01-17,Shirt,Clothing,4,3877,15508,Bangalore,2025-01,Friday
2025-01-17,Shoes,Clothing,5,4791,23955,Delhi,2025-01,Friday
2025-01-17,Shirt,Clothing,3,3936,11808,Bangalore,2025-01,Friday
2025-01-17,Laptop,Electronics,5,24744,123720,Mumbai,2025-01,Friday
2025-01-17,Mobile,Electronics,2,9848,19696,Bangalore,2025-01,Friday
2025-01-17,Bag,Accessories,5,4630,23150,Bangalore,2025-01,Friday
2025-01-17,Mobile,Electronics,4,48636,194544,Mumbai,2025-01,Friday
2025-01-17,Mobile,Electronics,4,7556,30224,Delhi,2025-01,Friday
2025-01-17,Watch,Accessories,5,1491,7455,Mumbai,2025-01,Friday
2025-01-17,Laptop,Electronics,2,23822,47644,Mumbai,2025-01,Friday
2025-01-17,Mobile,Electronics,5,23056,115280,Delhi,2025-01,Friday
2025-01-17,Watch,Accessories,3,4019,12057,Chennai,2025-01,Friday
2025-01-18,Watch,Accessories,4,1980,7920,Bangalore,2025-01,Saturday
2025-01-18,Bag,Accessories,1,1624,1624,Chennai,2025-01,Saturday
2025-01-18,Shirt,Clothing,4,3786,15144,Bangalore,2025-01,Saturday
2025-01-18,Shoes,Clothing,4,2514,10056,Bangalore,2025-01,Saturday
2025-01-18,Mobile,Electronics,2,28678,57356,Bangalore,2025-01,Saturday
2025-01-19,Shoes,Clothing,5,1543,7715,Mumbai,2025-01,Sunday
2025-01-19,Mobile,Electronics,4,13616,54464,Bangalore,2025-01,Sunday
2025-01-19,Laptop,Electronics,1,39798,39798,Delhi,2025-01,Sunday
2025-01-19,Shirt,Clothing,1,1514,1514,Chennai,2025-01,Sunday
2025-01-19,Laptop,Electronics,1,34091,34091,Delhi,2025-01,Sunday
2025-01-19,Watch,Accessories,5,433,2165,Mumbai,2025-01,Sunday
2025-01-19,Shirt,Clothing,5,2152,10760,Bangalore,2025-01,Sunday
2025-01-20,Watch,Accessories,5,4598,22990,Chennai,2025-01,Monday
2025-01-20,Shoes,Clothing,4,1550,6200,Bangalore,2025-01,Monday
2025-01-20,Shirt,Clothing,1,1556,1556,Delhi,2025-01,Monday
2025-01-20,Watch,Accessories,1,1696,1696,Mumbai,2025-01,Monday
2025-01-20,Watch,Accessories,3,3003,9009,Bangalore,2025-01,Monday
2025-01-20,Laptop,Electronics,3,13823,41469,Mumbai,2025-01,Monday
2025-01-20,Watch,Accessories,4,967,3868,Delhi,2025-01,Monday
2025-01-20,Mobile,Electronics,4,36987,147948,Mumbai,2025-01,Monday
2025-01-20,Shirt,Clothing,2,839,1678,Chennai,2025-01,Monday
2025-01-21,Laptop,Electronics,4,20659,82636,Bangalore,2025-01,Tuesday
2025-01-21,Watch,Accessories,1,2808,2808,Chennai,2025-01,Tuesday
2025-01-21,Shoes,Clothing,5,1881,9405,Bangalore,2025-01,Tuesday
2025-01-21,Shoes,Clothing,2,555,1110,Delhi,2025-01,Tuesday
2025-01-21,Bag,Accessories,1,309,309,Chennai,2025-01,Tuesday
2025-01-21,Watch,Accessories,2,1315,2630,Delhi,2025-01,Tuesday
2025-01-21,Watch,Accessories,1,2493,2493,Chennai,2025-01,Tuesday
2025-01-21,Bag,Accessories,1,4458,4458,Delhi,2025-01,Tuesday
2025-01-21,Watch,Accessories,3,4300,12900,Mumbai,2025-01,Tuesday
2025-01-22,Headphones,Electronics,1,904,904,Chennai,2025-01,Wednesday
2025-01-22,Bag,Accessories,4,2300,9200,Delhi,2025-01,Wednesday
2025-01-22,Bag,Accessories,5,1760,8800,Bangalore,2025-01,Wednesday
2025-01-22,Shoes,Clothing,5,3024,15120,Mumbai,2025-01,Wednesday
2025-01-22,Mobile,Electronics,3,13956,41868,Delhi,2025-01,Wednesday
2025-01-22,Watch,Accessories,1,2348,2348,Bangalore,2025-01,Wednesday
2025-01-22,Shoes,Clothing,5,4844,24220,Delhi,2025-01,Wednesday
2025-01-22,Mobile,Electronics,4,47698,190792,Chennai,2025-01,Wednesday
2025-01-22,Bag,Accessories,2,549,1098,Mumbai,2025-01,Wednesday
2025-01-22,Watch,Accessories,3,4262,12786,Mumbai,2025-01,Wednesday
2025-01-22,Shirt,Clothing,1,1377,1377,Chennai,2025-01,Wednesday
2025-01-22,Shoes,Clothing,3,2148,6444,Delhi,2025-01,Wednesday
2025-01-22,Bag,Accessories,5,4281,21405,Mumbai,2025-01,Wednesday
2025-01-23,Bag,Accessories,4,1629,6516,Mumbai,2025-01,Thursday
2025-01-23,Mobile,Electronics,3,10709,32127,Chennai,2025-01,Thursday
2025-01-23,Laptop,Electronics,1,32203,32203,Bangalore,2025-01,Thursday
2025-01-23,Shirt,Clothing,2,2428,4856,Delhi,2025-01,Thursday
2025-01-23,Shoes,Clothing,4,437,1748,Chennai,2025-01,Thursday
2025-01-23,Laptop,Electronics,2,20463,40926,Chennai,2025-01,Thursday
2025-01-23,Shoes,Clothing,2,4600,9200,Mumbai,2025-01,Thursday
2025-01-24,Bag,Accessories,1,3745,3745,Chennai,2025-01,Friday
2025-01-24,Shirt,Clothing,4,2019,8076,Delhi,2025-01,Friday
2025-01-24,Headphones,Electronics,3,33934,101802,Delhi,2025-01,Friday
2025-01-24,Mobile,Electronics,5,11814,59070,Bangalore,2025-01,Friday
2025-01-24,Shoes,Clothing,5,4999,24995,Mumbai,2025-01,Friday
2025-01-24,Shoes,Clothing,5,823,4115,Mumbai,2025-01,Friday
2025-01-24,Watch,Accessories,2,2268,4536,Mumbai,2025-01,Friday
2025-01-25,Shoes,Clothing,3,2596,7788,Bangalore,2025-01,Saturday
2025-01-25,Laptop,Electronics,3,19762,59286,Chennai,2025-01,Saturday
2025-01-25,Shoes,Clothing,1,2355,2355,Delhi,2025-01,Saturday
2025-01-25,Headphones,Electronics,5,22695,113475,Bangalore,2025-01,Saturday
2025-01-25,Bag,Accessories,2,4423,8846,Bangalore,2025-01,Saturday
2025-01-25,Watch,Accessories,2,664,1328,Mumbai,2025-01,Saturday
2025-01-25,Watch,Accessories,3,1946,5838,Bangalore,2025-01,Saturday
2025-01-25,Watch,Accessories,3,1831,5493,Delhi,2025-01,Saturday
2025-01-25,Mobile,Electronics,2,23833,47666,Bangalore,2025-01,Saturday
2025-01-25,Headphones,Electronics,1,39018,39018,Delhi,2025-01,Saturday
2025-01-25,Shirt,Clothing,2,1362,2724,Delhi,2025-01,Saturday
2025-01-25,Laptop,Electronics,2,49777,99554,Chennai,2025-01,Saturday
2025-01-25,Laptop,Electronics,1,4096,4096,Chennai,2025-01,Saturday
2025-01-25,Laptop,Electronics,4,8061,32244,Bangalore,2025-01,Saturday
2025-01-26,Shoes,Clothing,2,2458,4916,Chennai,2025-01,Sunday
2025-01-26,Bag,Accessories,2,4307,8614,Delhi,2025-01,Sunday
2025-01-26,Shirt,Clothing,3,2772,8316,Delhi,2025-01,Sunday
2025-01-26,Watch,Accessories,4,2061,8244,Bangalore,2025-01,Sunday
2025-01-26,Headphones,Electronics,5,47545,237725,Delhi,2025-01,Sunday
2025-01-26,Laptop,Electronics,1,27785,27785,Delhi,2025-01,Sunday
2025-01-26,Watch,Accessories,4,3721,14884,Bangalore,2025-01,Sunday
2025-01-26,Watch,Accessories,1,542,542,Bangalore,2025-01,Sunday
2025-01-26,Shoes,Clothing,4,1219,4876,Bangalore,2025-01,Sunday
2025-01-26,Watch,Accessories,2,767,1534,Chennai,2025-01,Sunday
2025-01-26,Headphones,Electronics,4,22850,91400,Mumbai,2025-01,Sunday
2025-01-26,Watch,Accessories,1,2851,2851,Mumbai,2025-01,Sunday
2025-01-26,Headphones,Electronics,1,1346,1346,Bangalore,2025-01,Sunday
2025-01-27,Mobile,Electronics,3,23200,69600,Chennai,2025-01,Monday
2025-01-27,Shoes,Clothing,2,1441,2882,Chennai,2025-01,Monday
2025-01-27,Headphones,Electronics,4,49876,199504,Chennai,2025-01,Monday
2025-01-27,Laptop,Electronics,4,2548,10192,Mumbai,2025-01,Monday
2025-01-27,Watch,Accessories,5,2217,11085,Bangalore,2025-01,Monday
2025-01-27,Bag,Accessories,4,2326,9304,Bangalore,2025-01,Monday
2025-01-27,Laptop,Electronics,2,509,1018,Delhi,2025-01,Monday
2025-01-27,Bag,Accessories,2,2519,5038,Mumbai,2025-01,Monday
2025-01-27,Shoes,Clothing,2,1919,3838,Delhi,2025-01,Monday
2025-01-27,Bag,Accessories,5,2676,13380,Delhi,2025-01,Monday
2025-01-27,Laptop,Electronics,3,28034,84102,Chennai,2025-01,Monday
2025-01-27,Watch,Accessories,3,3977,11931,Bangalore,2025-01,Monday
2025-01-28,Shoes,Clothing,4,535,2140,Mumbai,2025-01,Tuesday
2025-01-28,Watch,Accessories,5,675,3375,Bangalore,2025-01,Tuesday
2025-01-28,Laptop,Electronics,2,19519,39038,Bangalore,2025-01,Tuesday
2025-01-28,Headphones,Electronics,1,5915,5915,Chennai,2025-01,Tuesday
2025-01-28,Watch,Accessories,4,4150,16600,Delhi,2025-01,Tuesday
2025-01-29,Watch,Accessories,4,1614,6456,Delhi,2025-01,Wednesday
2025-01-29,Shoes,Clothing,5,3198,15990,Bangalore,2025-01,Wednesday
2025-01-29,Watch,Accessories,2,2921,5842,Chennai,2025-01,Wednesday
2025-01-29,Laptop,Electronics,5,17949,89745,Delhi,2025-01,Wednesday
2025-01-29,Mobile,Electronics,3,8304,24912,Mumbai,2025-01,Wednesday
2025-01-29,Laptop,Electronics,1,19596,19596,Delhi,2025-01,Wednesday
2025-01-29,Laptop,Electronics,2,18881,37762,Delhi,2025-01,Wednesday
2025-01-29,Headphones,Electronics,3,41657,124971,Mumbai,2025-01,Wednesday
2025-01-29,Headphones,Electronics,3,25019,75057,Mumbai,2025-01,Wednesday
2025-01-30,Bag,Accessories,5,2335,11675,Mumbai,2025-01,Thursday
2025-01-30,Bag,Accessories,3,719,2157,Delhi,2025-01,Thursday
2025-01-30,Watch,Accessories,1,1420,1420,Delhi,2025-01,Thursday
2025-01-30,Shoes,Clothing,3,1250,3750,Delhi,2025-01,Thursday
2025-01-30,Watch,Accessories,4,2945,11780,Mumbai,2025-01,Thursday
2025-01-30,Mobile,Electronics,5,47214,236070,Mumbai,2025-01,Thursday
2025-01-30,Laptop,Electronics,5,24210,121050,Bangalore,2025-01,Thursday
2025-01-30,Shirt,Clothing,5,3528,17640,Chennai,2025-01,Thursday
2025-01-31,Shoes,Clothing,4,3191,12764,Delhi,2025-01,Friday
2025-01-31,Mobile,Electronics,3,16978,50934,Bangalore,2025-01,Friday
2025-01-31,Headphones,Electronics,4,34061,136244,Bangalore,2025-01,Friday
2025-01-31,Headphones,Electronics,5,6279,31395,Bangalore,2025-01,Friday
2025-01-31,Watch,Accessories,2,3219,6438,Mumbai,2025-01,Friday
2025-01-31,Watch,Accessories,2,2649,5298,Bangalore,2025-01,Friday
2025-01-31,Shirt,Clothing,2,2488,4976,Chennai,2025-01,Friday
2025-01-31,Watch,Accessories,2,1284,2568,Delhi,2025-01,Friday
2025-01-31,Bag,Accessories,4,3030,12120,Chennai,2025-01,Friday
